========== STUDENTS TABLE ==========
Columns: ['student_id', 'full_name', 'department', 'batch', 'current_semester', 'cgpa', 'latest_sgpa', 'active_backlogs', 'has_backlog_history', 'attendance_percentage', 'technical_skills', 'soft_skills', 'project_titles', 'project_count']
Shape: (20, 14)

    student_id       full_name department  batch  current_semester  cgpa  latest_sgpa  active_backlogs  has_backlog_history  attendance_percentage             technical_skills                                     soft_skills                                                project_titles  project_count
0            1    Rajesh Verma        CSE   2020                 8   8.2          8.1                0                False                   88.0         [python, sql, react]           [communication, teamwork, leadership]                 [ecommerce platform, iot dashboard, rest api]              3
1            2    Priya Sharma        CSE   2020                 8   8.7          8.5                0                False                   92.0   [python, java, javascript]  [communication, problem solving, adaptability]            [ml recommendation engine, web portal, mobile app]              3
2            3     Arjun Patel        CSE   2020                 8   7.8          7.9                0                False                   76.0            [c, java, python]      [teamwork, time management, communication]                   [os scheduler, game engine, data analytics]              3
3            4  Divya Krishnan        CSE   2020                 8   8.4          8.3                0                False                   94.0    [python, javascript, sql]       [leadership, communication, adaptability]      [realtime chat app, weather dashboard, inventory system]              3
4            5    Vikram Singh        CSE   2020                 8   7.5          7.3                1                 True                   81.0               [java, c, sql]         [problem solving, teamwork, leadership]           [banking system, queue simulator, report generator]              3
5            6      Aisha Khan        MBA   2020                 8   8.1          8.0                0                False                   87.0  [python, react, javascript]                [communication, problem solving]                    [web scraper, task manager, blog platform]              3
6            7     Rohan Gupta        MBA   2020                 8   7.6          7.4                0                False                   85.0               [java, sql, c]       [teamwork, adaptability, problem solving]         [android banking app, database tool, file compressor]              3
7            8      Neha Desai         ME   2020                 8   8.0          7.8                0                False                   79.0  [python, javascript, react]    [leadership, time management, communication]  [traffic management system, travel planner, expense tracker]              3
8            9     Sanjay Iyer         ME   2020                 8   7.2          7.0                1                 True                   90.0     [javascript, sql, react]       [teamwork, problem solving, adaptability]          [ecommerce website, social network, video streaming]              3
9           10     Ananya Nair         ME   2020                 8   8.3          8.2                0                False                   93.0             [python, c, dsa]    [leadership, communication, problem solving]                              [chatbot, maze solver, compiler]              3
10          11     Karan Menon         CE   2020                 8   7.9          7.7                0                False                   82.0         [python, sql, react]                       [communication, teamwork]           [fullstack app, api gateway, authentication system]              3
11          12       Sneha Rao         CE   2020                 8   8.5          8.4                0                False                   95.0   [java, javascript, python]         [leadership, problem solving, teamwork]       [microservices framework, load balancer, cache manager]              3
12          13       Amit Bhat        BCA   2020                 6   7.6          7.5                0                False                   84.0             [c, python, sql]       [communication, adaptability, leadership]      [graph visualization, database indexing, memory manager]              3
13          14     Pooja Sinha        BCA   2020                 6   8.1          8.0                1                 True                   88.0  [javascript, react, python]      [teamwork, communication, problem solving]          [progressive web app, cloud dashboard, email client]              3
14          15    Suresh Kumar        BCA   2020                 6   7.3          7.1                0                False                   91.0          [python, sql, java]       [problem solving, teamwork, adaptability]                [data pipeline, etl tool, analytics dashboard]              3
15          16    Deepti Joshi        CSE   2021                 6   8.0          7.9                0                False                   89.0  [python, react, javascript]                     [communication, leadership]         [frontend framework, design system, state management]              3
16          17   Varun Nambiar        CSE   2021                 6   7.4          7.2                0                False                   75.0               [java, c, sql]    [teamwork, problem solving, time management]                 [backend api, data structures, system design]              3
17          18    Sakshi Bhatt        MBA   2021                 6   8.2          8.1                0                False                   93.0  [python, javascript, react]       [leadership, communication, adaptability]                [iot platform, sensor dashboard, alert system]              3
18          19   Nikhil Chopra         ME   2021                 6   7.7          7.5                0                False                   86.0             [c, sql, python]         [problem solving, teamwork, leadership]      [database optimization, parallel processing, networking]              3
19          20    Ishita Yadav        BCA   2021                 4   8.6          8.5                0                False                   97.0  [javascript, python, react]  [communication, adaptability, problem solving]                [fullstack app, payment gateway, admin portal]              3


========== STUDENT_COMPANY_MATCH TABLE ==========
Columns: ['student_id', 'company_name', 'tech_skills_count', 'tech_skills_percentage', 'soft_skills_count', 'soft_skills_percentage', 'eligible', 'readiness_score']
Shape: (200, 8)

     student_id  company_name  tech_skills_count  tech_skills_percentage  soft_skills_count  soft_skills_percentage  eligible  readiness_score
0             1           tcs                  2                   66.67                  2                   66.67         1            76.07
1             2           tcs                  2                   66.67                  2                   66.67         1            78.87
2             3           tcs                  2                   66.67                  2                   66.67         1            72.07
3             4           tcs                  2                   66.67                  1                   33.33         1            73.90
4             5           tcs                  2                   66.67                  2                   66.67         1            71.87
5             6           tcs                  1                   33.33                  2                   66.67         1            71.30
6             7           tcs                  2                   66.67                  2                   66.67         1            73.07
7             8           tcs                  1                   33.33                  1                   33.33         1            65.13
8             9           tcs                  1                   33.33                  2                   66.67         1            68.30
9            10           tcs                  1                   33.33                  2                   66.67         1            73.30
10           11           tcs                  2                   66.67                  2                   66.67         1            73.67
11           12           tcs                  2                   66.67                  2                   66.67         1            78.67
12           13           tcs                  2                   66.67                  1                   33.33         1            68.70
13           14           tcs                  1                   33.33                  3                  100.00         1            75.67
14           15           tcs                  3                  100.00                  2                   66.67         1            77.23
15           16           tcs                  1                   33.33                  1                   33.33         1            67.13
16           17           tcs                  2                   66.67                  2                   66.67         1            70.27
17           18           tcs                  1                   33.33                  1                   33.33         1            68.73
18           19           tcs                  2                   66.67                  2                   66.67         1            73.67
19           20           tcs                  1                   33.33                  2                   66.67         1            75.30
20            1       infosys                  1                   33.33                  2                   66.67         1            71.90
21            2       infosys                  2                   66.67                  2                   66.67         1            78.87
22            3       infosys                  2                   66.67                  1                   33.33         1            67.90
23            4       infosys                  1                   33.33                  3                  100.00         1            78.07
24            5       infosys                  1                   33.33                  1                   33.33         1            63.53
25            6       infosys                  1                   33.33                  1                   33.33         1            67.13
26            7       infosys                  1                   33.33                  1                   33.33         1            64.73
27            8       infosys                  1                   33.33                  2                   66.67         1            69.30
28            9       infosys                  0                    0.00                  1                   33.33         0            59.97
29           10       infosys                  1                   33.33                  2                   66.67         1            73.30
30           11       infosys                  1                   33.33                  1                   33.33         1            65.33
31           12       infosys                  2                   66.67                  1                   33.33         1            74.50
32           13       infosys                  1                   33.33                  3                  100.00         1            72.87
33           14       infosys                  1                   33.33                  1                   33.33         1            67.33
34           15       infosys                  2                   66.67                  1                   33.33         1            68.90
35           16       infosys                  1                   33.33                  2                   66.67         1            71.30
36           17       infosys                  1                   33.33                  0                    0.00         0            57.77
37           18       infosys                  1                   33.33                  3                  100.00         1            77.07
38           19       infosys                  1                   33.33                  1                   33.33         1            65.33
39           20       infosys                  1                   33.33                  2                   66.67         1            75.30
40            1     cognizant                  2                   66.67                  2                   66.67         1            76.07
41            2     cognizant                  2                   66.67                  2                   66.67         1            78.87
42            3     cognizant                  1                   33.33                  2                   66.67         1            67.90
43            4     cognizant                  3                  100.00                  1                   33.33         1            78.07
44            5     cognizant                  1                   33.33                  2                   66.67         1            67.70
45            6     cognizant                  2                   66.67                  2                   66.67         1            75.47
46            7     cognizant                  1                   33.33                  2                   66.67         1            68.90
47            8     cognizant                  2                   66.67                  1                   33.33         1            69.30
48            9     cognizant                  2                   66.67                  2                   66.67         1            72.47
49           10     cognizant                  1                   33.33                  2                   66.67         1            73.30
50           11     cognizant                  2                   66.67                  2                   66.67         1            73.67
51           12     cognizant                  2                   66.67                  2                   66.67         1            78.67
52           13     cognizant                  2                   66.67                  1                   33.33         1            68.70
53           14     cognizant                  2                   66.67                  3                  100.00         1            79.83
54           15     cognizant                  2                   66.67                  2                   66.67         1            73.07
55           16     cognizant                  2                   66.67                  1                   33.33         1            71.30
56           17     cognizant                  1                   33.33                  2                   66.67         1            66.10
57           18     cognizant                  2                   66.67                  1                   33.33         1            72.90
58           19     cognizant                  2                   66.67                  2                   66.67         1            73.67
59           20     cognizant                  2                   66.67                  2                   66.67         1            79.47
60            1     accenture                  1                   33.33                  1                   33.33         1            67.73
61            2     accenture                  2                   66.67                  2                   66.67         1            78.87
62            3     accenture                  2                   66.67                  0                    0.00         0            63.73
63            4     accenture                  1                   33.33                  2                   66.67         1            73.90
64            5     accenture                  1                   33.33                  2                   66.67         1            67.70
65            6     accenture                  1                   33.33                  1                   33.33         1            67.13
66            7     accenture                  1                   33.33                  2                   66.67         1            68.90
